ParticipantID,Age,Gender,Ratings,Angle,Physical Distance,Perceived Distance
6,27,m,5,0,5.27,3.8566
6,27,m,5,315,6.0,4.4473
6,27,m,5,270,1.43,2.9657
6,27,m,5,225,5.27,4.4987
6,27,m,5,225,6.0,5.927
6,27,m,5,225,3.44,3.0058
6,27,m,5,0,5.5,5.3869
6,27,m,5,135,3.44,4.4608
6,27,m,5,45,5.27,4.0811
6,27,m,5,180,5.27,4.8072
6,27,m,5,315,1.43,0.0854
6,27,m,5,90,1.43,3.2682
6,27,m,5,90,5.27,4.3311
6,27,m,5,45,3.44,3.7661
6,27,m,5,0,3.77,3.6806
6,27,m,5,0,6.0,5.9484
6,27,m,5,180,3.77,5.8469
6,27,m,5,315,3.44,5.4679
6,27,m,5,90,5.5,5.8743
6,27,m,5,135,5.5,5.9173
6,27,m,5,135,5.27,5.5262
6,27,m,5,45,5.5,4.9053
6,27,m,5,270,5.5,5.6391
6,27,m,5,180,1.43,1.4376
6,27,m,5,45,6.0,5.6457
6,27,m,5,180,3.44,3.133
6,27,m,5,90,3.77,4.3409
6,27,m,5,315,5.27,4.7793
6,27,m,5,0,1.43,0.0721
6,27,m,5,180,5.5,4.7723
6,27,m,5,90,6.0,5.1031
6,27,m,5,90,3.44,2.7692
6,27,m,5,45,3.77,3.4062
6,27,m,5,135,6.0,5.1852
6,27,m,5,225,5.5,3.6008
6,27,m,5,270,3.77,2.3546
6,27,m,5,180,6.0,4.1795
6,27,m,5,270,6.0,4.3447
6,27,m,5,135,1.43,2.026
6,27,m,5,45,1.43,1.6845
6,27,m,5,0,3.44,5.6122
6,27,m,5,270,3.44,4.2812
6,27,m,5,135,3.77,3.2416
6,27,m,5,270,5.27,4.8196
6,27,m,5,315,3.77,3.7136
6,27,m,5,225,3.77,3.4279
6,27,m,5,225,1.43,1.7746
7,30,m,2,90,6.0,3.9541
7,30,m,2,135,3.44,1.9096
7,30,m,2,315,5.27,1.2607
7,30,m,2,180,1.43,1.0517
7,30,m,2,45,1.43,0.6438
7,30,m,2,90,3.77,4.6248
7,30,m,2,90,5.27,4.9412
7,30,m,2,315,5.5,3.7738
7,30,m,2,225,5.27,3.625
7,30,m,2,45,5.5,5.0778
7,30,m,2,180,6.0,2.511
7,30,m,2,270,3.44,1.8745
7,30,m,2,0,3.44,4.2274
7,30,m,2,315,3.77,2.4616
7,30,m,2,270,3.77,1.6145
7,30,m,2,135,3.77,3.5609
7,30,m,2,0,5.27,4.3372
7,30,m,2,270,5.27,3.0528
7,30,m,2,180,3.77,2.1246
7,30,m,2,135,5.5,4.504
7,30,m,2,90,1.43,0.6727
7,30,m,2,180,5.5,3.3136
7,30,m,2,225,3.77,2.472
7,30,m,2,135,5.27,4.3672
7,30,m,2,90,5.5,2.3314
7,30,m,2,0,5.5,3.6966
7,30,m,2,45,6.0,1.8279
7,30,m,2,225,5.5,3.6062
7,30,m,2,0,3.77,4.6747
7,30,m,2,270,6.0,1.475
7,30,m,2,135,6.0,2.9398
7,30,m,2,270,5.5,2.2781
7,30,m,2,0,6.0,2.9749
7,30,m,2,45,3.77,1.9807
7,30,m,2,315,3.44,1.5347
7,30,m,2,225,6.0,2.8518
7,30,m,2,135,1.43,0.6504
7,30,m,2,315,6.0,4.8234
7,30,m,2,90,3.44,3.7334
7,30,m,2,180,5.27,3.7858
7,30,m,2,45,5.27,2.502
7,30,m,2,270,1.43,0.662
7,30,m,2,45,3.44,3.0553
7,30,m,2,0,1.43,0.5803
7,30,m,2,180,3.44,1.5938
7,30,m,2,315,1.43,0.4938
7,30,m,2,225,3.44,3.1723
7,30,m,2,225,1.43,0.5908
8,32,m,4,315,5.27,4.8747
8,32,m,4,270,6.0,5.5747
8,32,m,4,180,3.77,4.7721
8,32,m,4,90,3.44,3.0219
8,32,m,4,270,3.44,4.6531
8,32,m,4,135,5.27,5.113
8,32,m,4,315,3.77,3.424
8,32,m,4,315,3.44,2.3514
8,32,m,4,225,3.44,3.2454
8,32,m,4,0,6.0,3.6535
8,32,m,4,225,1.43,0.7705
8,32,m,4,225,6.0,4.2105
8,32,m,4,90,1.43,0.508
8,32,m,4,45,3.77,3.5518
8,32,m,4,180,6.0,4.8712
8,32,m,4,315,6.0,4.6362
8,32,m,4,45,5.27,3.9114
8,32,m,4,90,5.5,4.8917
8,32,m,4,315,1.43,2.0422
8,32,m,4,45,6.0,3.703
8,32,m,4,135,3.77,3.0333
8,32,m,4,0,5.5,4.3628
8,32,m,4,225,5.5,2.9819
8,32,m,4,45,1.43,0.717
